type,fixed_acidity,citric_acid,residual_sugar
white,6.2,0.42,2.5
white,5.9,0,0.8
white,6.2,0.02,0.9
white,6.6,0.4,8.1
white,6.6,0.4,8.1
white,5,0.27,11.75
white,5.5,0.13,1.3
white,4.9,0.17,1.9
white,6.5,0.38,8.3
white,6.6,0.4,8.1
white,6.2,0.28,5.7
white,6.2,0.22,1.9
white,6.8,0.36,1.2
white,4.9,0.27,11.75
white,6.1,0.29,2.2
white,5.7,0.32,0.9
white,6.5,0.38,1.3
white,6.2,0.29,1.6
white,6.6,0.36,8
white,6.5,0.19,1.2
white,5.5,0.3,1.1
white,6,0.38,0.8
red,7.4,0,1.9
red,7.8,0,2.6
red,7.8,0.04,2.3
red,11.2,0.56,1.9
red,7.4,0,1.9
red,7.4,0,1.8
red,7.9,0.06,1.6
red,7.3,0,1.2
red,7.8,0.02,2
red,7.5,0.36,6.1
red,6.7,0.08,1.8
red,7.5,0.36,6.1
red,5.6,0,1.6
red,7.8,0.29,1.6
red,8.9,0.18,3.8
red,8.9,0.19,3.9
red,8.5,0.56,1.8
red,8.1,0.28,1.7
red,7.4,0.08,4.4
red,7.9,0.51,1.8
red,8.9,0.48,1.8
red,7.6,0.31,2.3
